English,Polish
appreciate,doceniać
tense,napięty
blank,pusty
blew,Blew
fought,walczył
gym,siłownia
passenger,pasażer
teenager,nastolatek
dish,danie
drawn,pociągnięty
scary,straszny
unlike,w odróżnieniu
straighten,wyprostować
strain,napięcie
tune,melodia
constantly,stale
famous,słynny
marriage,małżeństwo
bound,zobowiązany
fancy,wymyślny
issue,wydanie
warmth,ciepło
awhile,chwila
collect,zbierać
concentrate,koncentrować
copy,Kopiuj
disbelief,niedowierzanie
tighten,dokręcać
determine,określić
favor,przychylność
mental,psychiczny
bush,krzak
forgive,Wybacz
aim,cel
embrace,uścisk
fairly,raczej
froze,zamrozić
insult,znieważenie
option,opcja
post,post
resist,oprzeć się
spoken,Mówiony
apple,jabłko
general,ogólny
instant,natychmiastowy
jeep,jeep
emerge,pojawić się
neighbor,sąsiad
pressure,ciśnienie
service,praca
shuffle,człapać
briefly,krótko
notebook,zeszyt
peace,pokój
string,strunowy
wine,wino
dash,kropla
gut,jelito
stress,stres
connect,łączyć
language,język
private,prywatny
spring,wiosna
chip,żeton
puppy,szczeniak
ache,boleć
desperate,zdesperowany
habit,nawyk
necessary,niezbędny
nope,Nie
pencil,ołówek
satisfy,usatysfakcjonować
deny,zaprzeczyć
mommy,mamusia
attitude,postawa
dial,Wybierz
painful,bolesny
display,wyświetlacz
frustrate,paraliżować
it'd,to było
tend,mieć skłonności
exact,dokładny
powerful,potężny
nature,Natura
photo,zdjęcie
total,całkowity
video,wideo
egg,jajko
occur,zdarzać się
anybody,ktoś
corridor,korytarz
gulp,łyk
trace,namierzać
whoever,ktokolwiek
brief,krótki
exhaust,wydechowy
pout,dąsać się
terrify,przerazić
chapter,rozdział
insane,obłąkany
spell,zaklęcie
surely,pewno
tray,taca
alcohol,alkohol
chain,łańcuch
fashion,moda
garage,garaż
inquire,pytać się
candy,cukierek
similar,podobny
bark,kora
flirt,flirt
pathetic,żałosne
supply,dostarczać
tower,wieża
engine,silnik
frozen,mrożony
map,mapa
toilet,toaleta
background,tło
shudder,dreszcz
spider,pająk
adult,dorosły
cheap,tani
clue,wskazówka
hazel,Leszczyna
irritate,irytować
sand,piasek
quarter,kwartał
spare,zapasowy
American,amerykański
rid,eliminować
spat,sprzeczka
pot,garnek
awful,okropny
bleed,krwawić
fate,los
jog,biec truchtem
strike,strajk
grimace,grymas
holiday,wakacje
whistle,gwizdać
agreement,porozumienie
dull,nudny
expensive,drogi
snatch,urywek
sometime,czasami
ability,umiejętność
campus,kampus
collar,kołnierz
disturb,przeszkadzać
flicker,migotanie
proceed,przystępować
recently,Ostatnio
risk,ryzyko
skill,umiejętność
topic,temat
defense,obrona
fry,smażyć
luckily,na szczęście
retort,retorta
captain,kapitan
eaten,zjedzony
glove,rękawica
mid,Środek
owner,właściciel
cheese,ser
yank,szarpać
afterward,potem
closely,dokładnie
coach,trener
feather,pióro
handsome,przystojny
New York,Nowy Jork
pity,szkoda
signal,sygnał
sniff,powąchać
strap,pasek
contain,zawierać
survive,przetrwać
sweater,sweter
west,Zachód
drawer,szuflada
leap,skok
major,główny
peek,zerkać
suspect,podejrzany
tour,wycieczka
freeze,zamrażać
heaven,niebo
mask,maska
surprisingly,zaskakująco
abruptly,nagle
begun,zaczął
customer,klient
pad,Podkładka
design,projekt
flop,brzdęknięcie
pride,duma
yep,Tak
interview,wywiad
makeup,makijaż
blast,podmuch
prince,książę
rode,jechał
bubble,bańka
rent,wynajem
teen,nastolatek
